,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
1504,CN,哈三联,SZ002900,13.29,0.08,0.61,-1.88,1287350.0,17019456.0,0.75,60.975,0.752,4207083064.0
1505,CN,英派斯,SZ002899,16.42,0.23,1.42,31.71,1810061.0,29421498.1,1.51,18.122,0.384,1970400000.0
1506,CN,赛隆药业,SZ002898,13.52,0.11,0.82,11.28,2286018.0,30835839.37,2.26,,,2379520000.0
1507,CN,意华股份,SZ002897,34.9,0.35,1.01,-40.43,3470167.0,119913449.5,2.13,53.913,0.43,5956452800.0
1508,CN,中大力德,SZ002896,34.96,0.25,0.72,54.88,3167800.0,110368779.0,2.1,65.185,0.2,5284948124.0
1509,CN,川恒股份,SZ002895,18.03,-0.48,-2.59,-28.6,8563626.0,153869386.84,1.72,13.718,3.882,9047190492.0
1510,CN,京能热力,SZ002893,10.47,-0.21,-1.97,24.43,16224769.0,168780723.22,8.04,63.579,0.315,2760310800.0
1511,CN,科力尔,SZ002892,15.31,0.12,0.79,97.9,11834712.0,180929464.84,4.3,110.062,0.79,6799928922.0
1512,CN,中宠股份,SZ002891,26.38,0.6,2.33,18.5,2130900.0,55685280.0,0.72,46.173,0.19,7758728164.0
1513,CN,弘宇股份,SZ002890,15.2,-0.5,-3.18,22.36,9433234.0,142594242.17,7.59,88.639,0.658,1986232640.0
1514,CN,东方嘉盛,SZ002889,25.04,0.95,3.94,55.65,7403640.0,185487465.4,5.91,30.911,0.327,4831723408.0
1515,CN,惠威科技,SZ002888,23.93,0.47,2.0,92.21,21697340.0,520356977.8,28.7,,,3580207502.0
1516,CN,绿茵生态,SZ002887,8.38,0.1,1.21,2.73,1374500.0,11436544.0,0.83,33.788,4.177,2614560000.0
1517,CN,沃特股份,SZ002886,19.27,-0.45,-2.28,16.33,10291268.0,197167954.32,5.99,578.734,0.067,5071932698.0
1518,CN,京泉华,SZ002885,17.03,-0.11,-0.64,-19.8,6865516.0,117249275.32,3.03,46.402,0.417,4645724020.0
1519,CN,凌霄泵业,SZ002884,17.6,0.34,1.97,13.12,3601535.0,63329243.78,1.32,17.155,5.682,6295212158.0
1520,CN,中设股份,SZ002883,12.19,0.39,3.31,10.17,4311880.0,52056932.2,3.18,42.114,0.656,1903555854.0
1521,CN,金龙羽,SZ002882,14.25,-0.71,-4.75,30.98,11506513.0,165239549.47,4.67,28.764,1.404,6168825000.0
1522,CN,美格智能,SZ002881,26.43,0.19,0.72,-0.82,2212630.0,58291331.8,1.2,93.276,0.378,6910656963.0
1523,CN,卫光生物,SZ002880,35.5,0.5,1.43,11.97,450729.0,15878098.45,0.2,41.096,0.563,8051400000.0
1524,CN,长缆科技,SZ002879,15.07,0.09,0.6,10.46,1209400.0,18092819.0,0.9,76.429,0.995,2910132135.0
1525,CN,元隆雅图,SZ002878,17.4,0.29,1.69,15.28,19171556.0,333374973.48,9.82,124.477,2.874,3883172633.0
1526,CN,智能自控,SZ002877,9.94,0.16,1.64,46.27,3677626.0,36160092.6,1.76,30.793,0.332,3513690292.0
